Crunchbase Rank,Company Name,Total Funding,Number of Employees,Scraped Jobs Count
6722,Minds,17381300,11-50,1
6733,WAX (Worldwide Asset eXchange),42000000,51-100,
6758,Turing Chain,700575,1-10,
6761,Securrency,64450000,101-250,4
6779,SFOX,23120000,11-50,19
6806,Coincheck,1093531,11-50,
6843,GamerGains Lab,5800000,1-10,
6854,Web3Auth,15000000,11-50,15
6872,Celer Network,6100000,11-50,3
6884,Provenance,6549806,11-50,7
6884,Provenance,6549806,11-50,5
6887,Space Runners,10000000,1-10,
6892,"The INX Digital Company, Inc",96472202,51-100,
6914,Zerion,10200000,11-50,11
6920,Maple Finance,2700000,1-10,7
7011,Ribbon Finance,8800000,,3
7046,Stacked,36500000,11-50,22
7047,BiLira,3657258,11-50,
7053,Manta Network,6600000,,8
7083,Entropy,1950000,1-10,
7180,ADDX,57896427,51-100,2
7194,TraceX Technologies,995453,,
7213,The TIE,9000000,1-10,3
7219,Finoa,25017305,51-100,
7258,CENTRE,40000000,1-10,3
7269,OAK Network,5500000,11-50,
7276,Dropp,15000000,11-50,
7279,Shorter Finance,4000000,51-100,
7368,SwissBorg,52441500,11-50,203
7368,SwissBorg,52441500,11-50,1
7381,HackerNoon,2569993,1-10,
7385,B2C2,37400000,11-50,
7450,Notabene,12500000,11-50,26
7455,Delphi Digital,,11-50,1
7515,Lucid Green,14301250,11-50,
7527,FungyProof,1000000,1-10,
7585,Sweet,10145497,11-50,
7678,KnCMiner,32000000,101-250,
7686,Mask Network,48850000,51-100,6
7688,Queen of Raw,1460000,11-50,
7697,Mad Realities,6000000,1-10,
7798,Staax,1820000,1-10,
7803,Liquid Global,252640594,101-250,
7808,XMTP,25000000,,
7817,Elementus,16300000,1-10,
7847,Change,22252872,51-100,45
7855,Synthetix,46050000,11-50,3
7860,Quidax,3620000,11-50,6
7877,Novel,6000000,11-50,8
7908,Iris Energy,186000000,11-50,
7912,RabbitHole,21600000,11-50,16
7932,Circulor,19838824,11-50,
7960,Itheum,5975000,11-50,
7964,Aspen Digital,8800000,11-50,
8049,Naga,37658102,101-250,
8056,Anchorage,487000000,101-250,
8076,Bitkub Capital Group Holdings,10900000,501-1000,
8095,TradeBlock,53127330,11-50,20
8095,TradeBlock,53127330,11-50,2
8101,Measure Protocol,2623295,1-10,
8120,Hut 8 Mining,39008561,11-50,
8155,Nifty Island,20000000,11-50,
8197,XYO,13635000,51-100,
8207,Applied Blockchain,85000000,1-10,9
8213,Lysto,2993692,1-10,
8239,Concordium,30270000,11-50,
8252,Venice Swap,100000000,1-10,
8252,Nobul,50000000,11-50,
8256,IndiGG,6000000,1-10,
8297,Flint,5100000,1-10,
8299,Apto Payments,7800000,51-100,
8364,Battlebound,4800000,,7
8368,Civitas,20000000,,
8390,Wombat Exchange,5250000,,1
8391,Boson Protocol,35806686,11-50,35
8402,PECULIUM,18688932,11-50,
8428,Tassat Group,45398924,11-50,
8443,Proof of Learn,15000000,1-10,
8456,Connext,15745000,1-10,20
8497,Bitt,31000000,51-100,2
8538,Bullish Global,300000000,,
8555,Footium,3350000,1-10,
8559,Faraway,29000000,11-50,10
8572,Electric Capital,0,1-10,7
8575,Ethereum,,1-10,19
8575,Ethereum,,1-10,9
8596,Lygon,18249000,11-50,
8624,bitbank,79414385,101-250,
8655,PARSIQ,3000000,1-10,
8657,Hashflow,3200000,11-50,3
8662,AnChain.ai,16300000,11-50,
8675,KarmaCheck,19200000,11-50,
8706,Grayscale Bitcoin Trust,383750000,11-50,
8721,GRIID,525000000,11-50,
8726,DEIP,4300000,11-50,
8741,Enjinstarter,8000000,1-10,
8754,Digital Prime Technologies,1017500,1-10,
8779,Mojito,20000000,,16
8847,Minima,9000000,1-10,
8900,Crypto Finance AG,36819519,51-100,30
8920,Marqeta,530110000,501-1000,
8937,Immutable,279798976,101-250,137
9019,Gnosis,12500000,11-50,49
9045,BTCS,3150000,11-50,
9051,Virtually Human Studio,20000000,101-250,27
9053,Civic,35750000,11-50,
9089,Eizper Chain,2000000,,
9130,Coinhouse,25142758,51-100,20
9139,Hack VC,0,1-10,11
9189,CipherTrace,45100378,51-100,
9194,Utrust,21000000,51-100,
9234,XanPool,31400000,11-50,
9241,Loop Crypto,4000000,1-10,8
9260,BlockSpaces,7260000,11-50,
9324,BRD,54845792,11-50,
9346,Fnality International,63318230,11-50,
9347,Forta Protocol,23000000,,
9363,Bakkt,932500000,501-1000,133
9365,Ignite Tournaments,10000000,11-50,
9389,Fonbnk,5120000,11-50,
9414,Cobo,60000000,51-100,
9442,CoinPayments,893491,11-50,
9459,Ember Fund,5990000,1-10,
9474,Metadome (formerly Adloid),4000000,101-250,
9486,Firefly Exchange,30065000,11-50,
9513,Multichain,120000000,,
9522,BetDEX,21000000,11-50,5
9522,BetDEX,21000000,11-50,4
9548,Horizon Blockchain Games,13260000,11-50,55
9552,Polymath Network,58719888,11-50,
9558,CAMPFIRE,75220917,51-100,
9564,Cryptopay,18065000,1-10,
9573,Banxa,13939206,101-250,
9618,Good Games Guild,1700000,,
9759,Symbiont,36610000,51-100,15
9760,Phi Labs,21000000,,1
9849,Floating Point Group,12000000,11-50,20
9862,Fabriik,32000000,101-250,
9867,Dock,20000000,11-50,
9947,Data Mynt,1800000,11-50,2
10017,Aztec Protocol,19100000,11-50,11
10020,The Block,3500000,11-50,64
10046,CMT Digital Ventures,,1-10,
10074,GSR,,251-500,207
10074,GSR,,251-500,3
10132,SingularityNET,41000000,51-100,
10176,NFT3,7500000,1-10,
10268,TrueFi,12500000,11-50,
10408,Interlay,9540000,11-50,2
10409,Syarpa,815000,1-10,
10453,Espresso Systems,35100000,1-10,
10463,Moonwell Finance,10000000,1-10,
10504,PumaPay,117019041,11-50,
10505,Vega Protocol,10000000,11-50,3
10540,BTCBOX,1727849,11-50,
10609,Mangata Finance,5600000,11-50,
10636,CoinShares,,11-50,
10650,Valour,13860000,1-10,
10662,StrongBlock,4000000,1-10,
10705,Solve.Care,30230000,101-250,
10756,Hubble Protocol,13600000,1-10,
10766,Multis,9350000,1-10,5
10771,Conduit,17000000,1-10,
10788,Burnt Finance,14000000,11-50,29
10800,Transpose,3000000,1-10,
10814,Mirror World,4000000,11-50,
10819,Blocktrade,25788301,11-50,
10832,DeHorizon,8500000,11-50,
10835,Slingshot Finance,18100000,1-10,
10854,Unbanked,2753025,11-50,
10860,O(1) Labs,29400000,11-50,5
10882,Affyn,27000000,11-50,
10903,Blockpit GmbH,12693945,11-50,
10909,Harbor,76000000,1-10,1
10959,Structure,20000000,,
10980,Coinfirm,8500000,101-250,1
11004,Unlock,5675000,1-10,2
11035,The Kingdom,3600000,1-10,
11063,CryptoKitties,23000000,11-50,
11104,Block Earner,4500000,11-50,
11144,CERE Network,10100000,11-50,1
11146,Portal,8758000,1-10,
11198,Data Gumbo,22650000,51-100,
11204,Provenance Blockchain,40000000,1-10,
11257,Bitwave,7250000,11-50,9
11260,ClayStack,5200000,11-50,3
11296,Joystream,5850000,,
11331,Luno,13801819,51-100,118
11348,Dibbs,15800000,11-50,
11353,IPOR Labs,5550000,11-50,
11410,ThunderCore,51810000,11-50,
11424,Authena,3688104,11-50,
11438,SKALE Labs,22100000,11-50,4
11449,Quantstamp,3245000,11-50,
11458,Context,19500000,,
11519,Pyypl,11000000,251-500,
11557,RNDR Token,30000000,51-100,
11572,Templum,34439142,11-50,1
11580,Astra Protocol,9000000,,
11589,Colexion,13000000,11-50,
11612,Rebel,62111288,51-100,
11615,Numerai,27500000,11-50,
11630,Coinmama,2400000,11-50,
11702,PROFICIO,13100000,51-100,
11733,GK8,12000000,11-50,
11746,Aragon,26000000,11-50,1
11751,ZenSports,5478376,11-50,
11757,API3,3000000,1-10,9
11769,Thesis,21000000,,6
11770,Krypto,2080000,1-10,
11777,Unblocked,15000000,11-50,
11789,Thetanuts Finance,18000000,,
11807,Gro,7100000,11-50,12
11810,Horizen Labs,11000000,11-50,28
11810,Horizen Labs,11000000,11-50,2
11811,vlinder,106201,11-50,
11834,Cybrid,3018880,11-50,
11841,Blocknative,19000000,11-50,23
11860,Gameflip,8500000,11-50,
11875,Trust Machines,150000000,,5
11949,Blocklancer,300000,1-10,
11982,LunarCrush,2120000,11-50,
12037,Blofin,72000000,,
12042,Third Time Entertainment,3500000,11-50,
12099,Current Mobile,40000000,11-50,
12104,LD Capital,,11-50,
12106,Flow Blockchain,18000000,101-250,
12117,Parity Technologies,5750000,51-100,194
12123,Osmosis Foundation,21000000,,5
12154,Monolith,16700000,11-50,
12161,Robot Cache,11700000,11-50,
12234,Kava Labs,1200000,11-50,22
