Company Name,Job Title,Tags,Posted Before
Braintrust,Site Reliability Engineer,remote:devops:security:freelance:full-time:developer:python:defi,27d
Braintrust,Observability Consultant,remote:devops:community:security:developer:python:javascript:manager:data:full-time,27d
Braintrust,DevOps Engineer,remote:devops:security:freelance:engineering:python:remote-usa:data:full-time,26d
Kraken Digital Asset Exchange,Senior DevOps Engineer - Staked,remote:devops:developer:engineering:exchange:python:c-plus-plus:full-time,20d
Kraken Digital Asset Exchange,Integrations Engineer,remote:devops:security:developer:engineering:exchange:python:c-plus-plus:javascript:data:full-time,20d
Kraken Digital Asset Exchange,Senior Financial Systems Analyst,remote:analyst:exchange:compliance:finance:data:full-time,19d
Kraken Digital Asset Exchange,International Benefits Analyst (APAC),remote:legal:analyst:operations:exchange:compliance:finance:data:full-time,20d
Kraken Digital Asset Exchange,International Benefits Analyst (EMEA),remote:legal:analyst:operations:exchange:compliance:finance:data:full-time,20d
Galaxy Digital Services,Compliance Associate / Vice President,marketing:compliance:full-time,23d
Galaxy Digital Services,"Analyst, Paralegal",research:legal:analyst:full-time,22d
Braintrust,IT Business Systems Analyst,analyst:freelance:engineering:full-time,26d
Foundation,Finance Lead,remote:legal:community:web3:defi:finance:full-time,18d
Braintrust,Integration specialist,remote:freelance:developer:engineering:python:manager:data:full-time,29d
Advanced Blockchain AG,Crypto Recruiting Researcher,remote:research:operations:full-time:developer:engineering:defi:data,6d
Skynet Labs,Researcher,remote:non-tech:marketing:research:community:content:full-time:developer:engineering:web3,25d
Brave,Data Engineer,remote:marketing:research:security:developer:engineering:python:javascript:dex:data:full-time,28d
Brave,Anti-Fraud Engineer - Red Team,remote:research:security:developer:engineering:golang:python:javascript:dex:data:full-time,28d
MoonPay,Data Science Lead,legal:operations:python:data:full-time,26d
Kraken Digital Asset Exchange,Data Engineer - US & Canada,remote:developer:engineering:exchange:golang:python:data:full-time,19d
